creative_id,campaign_id,advertiser_id,advertiser_name,app_name,vertical,format,language,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,objective,primary_theme,target_age_segment,target_os,creative_launch_date,asset_file,creative_status,best_score,winner_segment,action_hint,global_rank,global_pct,campaign_rank,campaign_pct,vertical_rank,vertical_pct,format_rank,format_pct,vertical_format_rank,vertical_format_pct,perf_score,overall_roas,overall_ipm,overall_ctr,overall_cvr,lifecycle_spend_usd,lifecycle_impressions,lifecycle_revenue_usd,fatigue_day,has_fatigue,ctr_decay_pct,cvr_decay_pct,evidence_ok,low_evidence,perf_score_pct,overall_roas_pct,overall_ipm_pct,overall_cvr_pct,overall_ctr_pct,overall_roas_vs_campaign_median,overall_ipm_vs_vertical_median,perf_score_vs_vertical_format_median
500002,20000,1000,PixelForge,PixelForge Legends,gaming,rewarded_video,ja,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,install,fantasy,45-54,Both,2026-02-03,assets/creative_500002.png,fatigued,0.6419068736141909,not_top,Review,263.0,0.7095343680709535,1.0,1.0,79.0,0.4868421052631579,103.0,0.3625,26.0,0.4186046511627907,0.6074074074074074,1.1081073729861737,1.451757521958632,0.0070612608783598,0.2055946589379981,41177.21,5472677,45628.77,11.0,1,-0.883620876002164,0.0192595213269899,True,False,0.746119733924612,0.058758314855875834,0.9434589800443459,0.9556541019955654,0.8902439024390244,0.16623832282385664,0.09777685652664614,-0.05432098765432103
500001,20000,1000,PixelForge,PixelForge Legends,gaming,rewarded_video,en,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,install,fantasy,45-54,Both,2026-01-30,assets/creative_500001.png,fatigued,0.6390243902439025,not_top,Review,267.0,0.70509977827051,2.0,0.8333333333333334,81.0,0.47368421052631576,104.0,0.35625,27.0,0.3953488372093023,0.5978395061728395,1.1266953986429848,1.4867974604611736,0.0066877354426202,0.2223170269245354,47396.67,6308862,53401.61,12.0,1,-0.8790466075977256,-0.0800892904071556,True,False,0.7283813747228381,0.06430155210643015,0.9512195121951219,0.9866962305986696,0.8536585365853658,0.1848263484806678,0.13281679502918764,-0.06388888888888888
500005,20000,1000,PixelForge,PixelForge Legends,gaming,rewarded_video,ja,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,install,fantasy,45-54,Both,2026-01-28,assets/creative_500005.png,stable,0.5660753880266075,not_top,Review,379.0,0.5809312638580931,3.0,0.6666666666666666,112.0,0.26973684210526316,124.0,0.23125,37.0,0.16279069767441862,0.5419753086419753,0.9345498333374836,1.2332530504548382,0.0060482250792686,0.2039032996113239,44977.12,5997958,42033.36,,0,-0.8753519788836597,-0.0635857312273568,True,False,0.6125277161862528,0.02328159645232816,0.9113082039911308,0.9523281596452328,0.7549889135254989,-0.0073192168248333855,-0.12072761497714768,-0.11975308641975313
500007,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,es,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,purchase,testimonial,45-54,Android,2026-01-23,assets/creative_500007.png,stable,0.4119179600886918,not_top,Review,595.0,0.34146341463414637,1.0,1.0,44.0,0.6814814814814815,206.0,0.27816901408450706,14.0,0.59375,0.4419753086419752,3.050351291416699,0.2814197634306966,0.0051818604612763,0.0543086340386281,24391.43,6904277,74402.43000000001,,0,-0.8437435554275438,0.1346531413612566,True,False,0.4190687361419069,0.656319290465632,0.1984478935698448,0.1197339246119734,0.5709534368070953,0.5418365172173139,-0.022673297321220365,-0.059876543209876676
500008,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,native,es,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,purchase,testimonial,45-54,Android,2026-01-28,assets/creative_500008.png,stable,0.234589800443459,not_top,Review,785.0,0.13082039911308205,2.0,0.8333333333333334,88.0,0.35555555555555557,234.0,0.08267716535433071,42.0,0.19607843137254902,0.2496913580246913,2.642289116341278,0.1989780403009406,0.0035884980352741,0.0554488363502031,21533.2,7543546,56896.94,,0,-0.7988159231274188,-0.1870760272515931,True,False,0.13414634146341464,0.6053215077605322,0.038802660753880266,0.1385809312638581,0.15964523281596452,0.13377434214189288,-0.10511502045097634,-0.15648148148148153
500010,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,native,es,fantasy,free shipping,Watch now,Limited stock,Shop bestsellers now,orange,premium,purchase,testimonial,45-54,Android,2026-01-24,assets/creative_500010.png,stable,0.2270509977827051,not_top,Review,794.0,0.12084257206208426,3.0,0.6666666666666666,91.0,0.3333333333333333,239.0,0.06299212598425197,45.0,0.13725490196078433,0.2487654320987654,2.588338237265342,0.1930181648499495,0.0036336415737248,0.0531197590443919,22753.85,8040694,58894.66,,0,-0.7900245156678192,-0.2063388622528407,True,False,0.13303769401330376,0.5975609756097561,0.031042128603104215,0.09645232815964523,0.17184035476718404,0.07982346306595689,-0.11107489590196745,-0.15740740740740744
500016,20002,1002,EarnPath,EarnPath Invest,fintech,interstitial,es,testimonial,earn more,Order now,Secure & simple,"Fast signup, instant card",blue,urgent,signup,trust,18-24,iOS,2026-01-03,assets/creative_500016.png,stable,0.599889135254989,not_top,Review,318.0,0.6485587583148559,1.0,1.0,53.0,0.6312056737588653,89.0,0.6901408450704225,16.0,0.53125,0.4858024691358024,6.453928537255652,0.3944508821936297,0.0037789865206851,0.1043800712266402,42744.79,7207488,275871.82,,0,-0.7855275280705257,-0.1495783477374587,True,False,0.503880266075388,0.8381374722838137,0.516629711751663,0.753880266075388,0.2017738359201774,0.32751516957571347,0.011710015135300234,-0.05308641975308659
500014,20002,1002,EarnPath,EarnPath Invest,fintech,native,pt,feature-focus,new collection,Order now,Secure & simple,Built for peace of mind,white,playful,signup,trust,18-24,iOS,2026-01-16,assets/creative_500014.png,stable,0.4966740576496674,not_top,Review,475.0,0.4745011086474501,2.0,0.8333333333333334,79.0,0.44680851063829785,130.0,0.4921259842519685,41.0,0.21568627450980393,0.3932098765432099,6.586175894670943,0.3273258424698658,0.0031248896300145,0.1047479691205408,29998.18,6342304,197573.29,,0,-0.7330371745652744,-0.0484703719018764,True,False,0.34146341463414637,0.844789356984479,0.3492239467849224,0.7583148558758315,0.06430155210643015,0.45976252699100506,-0.0554150245884637,-0.12438271604938261
500012,20002,1002,EarnPath,EarnPath Invest,fintech,native,es,trust,last-minute deal,Book now,"Your money, clearer",Built for peace of mind,blue,excited,signup,trust,18-24,iOS,2026-01-03,assets/creative_500012.png,stable,0.45881374722838136,not_top,Review,525.0,0.4190687361419069,3.0,0.6666666666666666,90.0,0.36879432624113473,151.0,0.4094488188976378,44.0,0.1568627450980392,0.3620370370370371,6.185969994816537,0.3087574245943081,0.0030010188172911,0.1028842014636246,40744.96,8514775,252047.1,,0,-0.7127321967981208,-0.0394352838173063,True,False,0.29933481152993346,0.8203991130820399,0.2915742793791574,0.7350332594235033,0.043237250554323724,0.05955662713659837,-0.07398344246402139,-0.1555555555555554
500023,20003,1003,CloudRoute,CloudRoute Getaway,travel,interstitial,pt,discount,escape,Install now,Escape this weekend,Flexible booking options,orange,premium,booking,family,35-44,Android,2026-01-16,assets/creative_500023.png,fatigued,0.7745011086474501,strong_but_fatigued,Refresh,85.0,0.9068736141906873,1.0,1.0,29.0,0.8068965517241379,16.0,0.9471830985915493,6.0,0.9038461538461539,0.7404320987654321,8.705089147456153,0.3848346985074042,0.0069105054366313,0.0556883576803895,20600.7,3268936,179330.93,12.0,1,-0.7952336463137405,0.0328240603728913,True,False,0.9445676274944568,0.9567627494456763,0.4955654101995565,0.14523281596452328,0.876940133037694,1.0323123105817036,0.05262378030098264,0.16296296296296298
500020,20003,1003,CloudRoute,CloudRoute Getaway,travel,native,de,wanderlust,last-minute deal,Install now,Fly smarter,Special fares today,lime,adventurous,booking,family,35-44,Android,2026-01-12,assets/creative_500020.png,stable,0.6847560975609756,not_top,Review,200.0,0.779379157427938,2.0,0.75,53.0,0.6413793103448275,40.0,0.8464566929133859,4.0,0.926829268292683,0.645679012345679,9.194727717911022,0.3240981199529072,0.0059706796608622,0.0542816125402553,21792.84,4316594,200379.23,,0,-0.7234728906481067,-0.0344377197037292,True,False,0.8137472283813747,0.9722838137472284,0.33592017738359203,0.11751662971175167,0.7450110864745011,1.521950881036572,-0.008112798253514353,0.09660493827160499
500019,20003,1003,CloudRoute,CloudRoute Getaway,travel,interstitial,pt,food-closeup,exclusive,Install now,Last-minute savings,Special fares today,purple,adventurous,booking,family,35-44,Android,2026-01-07,assets/creative_500019.png,stable,0.379490022172949,not_top,Review,634.0,0.2982261640798226,3.0,0.5,131.0,0.10344827586206896,223.0,0.21830985915492956,47.0,0.11538461538461539,0.4132716049382716,5.191783577837914,0.2283971883471889,0.0049521380502049,0.0461209251502458,28084.0,4435256,145806.05,,0,-0.7872599920878198,-0.1284753594651887,True,False,0.3802660753880266,0.7372505543237251,0.082039911308204,0.011086474501108648,0.5110864745011087,-2.480993259036535,-0.10381372985923268,-0.16419753086419758
500028,20004,1004,SnapMeal,SnapMeal Bites,food_delivery,banner,it,combo,exclusive,Install now,"Fast food, fast",Late-night deals available,orange,playful,order,discount,25-34,iOS,2026-01-28,assets/creative_500028.png,stable,0.7329268292682928,not_top,Review,131.0,0.8558758314855875,1.0,1.0,11.0,0.9371069182389937,1.0,1.0,1.0,1.0,0.683641975308642,2.4328943580654863,0.5698513193412172,0.0064166207844683,0.0888086328430945,15527.83,3581636,37777.57,,0,-0.7172539743206158,0.0177054628971644,True,False,0.8747228381374723,0.5598669623059866,0.7682926829268293,0.48558758314855877,0.8170731707317073,0.6624682198420355,0.14897288849403711,0.4456790123456791
