segment,feature,kpi,spearman_corr,abs_corr,n,is_strong,insight
vertical=fintech,text_area_total_rel,overall_cvr,0.5473350758435017,0.5473350758435017,180,1,"In vertical=fintech, higher text_area_total_rel is associated with higher overall_cvr (spearman=0.547, n=180)."
vertical=travel,text_area_total_rel,overall_cvr,0.49531158369085465,0.49531158369085465,180,1,"In vertical=travel, higher text_area_total_rel is associated with higher overall_cvr (spearman=0.495, n=180)."
vertical=gaming,text_area_total_rel,overall_cvr,0.48924143749292676,0.48924143749292676,180,1,"In vertical=gaming, higher text_area_total_rel is associated with higher overall_cvr (spearman=0.489, n=180)."
vertical=gaming,avg_text_area_rel,overall_cvr,0.4770620492402029,0.4770620492402029,180,1,"In vertical=gaming, higher avg_text_area_rel is associated with higher overall_cvr (spearman=0.477, n=180)."
vertical=travel,has_price_text,overall_cvr,0.4701674975479643,0.4701674975479643,180,1,"In vertical=travel, higher has_price_text is associated with higher overall_cvr (spearman=0.470, n=180)."
vertical=travel,has_price_meta,overall_cvr,0.4701674975479643,0.4701674975479643,180,1,"In vertical=travel, higher has_price_meta is associated with higher overall_cvr (spearman=0.470, n=180)."
all,image_aspect_ratio,overall_ctr,-0.4625194370409538,0.4625194370409538,1080,1,"In all, higher image_aspect_ratio is associated with lower overall_ctr (spearman=-0.463, n=1080)."
vertical=travel,image_aspect_ratio,overall_ctr,-0.4508473189686297,0.4508473189686297,180,1,"In vertical=travel, higher image_aspect_ratio is associated with lower overall_ctr (spearman=-0.451, n=180)."
all,ocr_element_count,overall_cvr,-0.4504075269263829,0.4504075269263829,1080,1,"In all, higher ocr_element_count is associated with lower overall_cvr (spearman=-0.450, n=1080)."
vertical=gaming,logo_in_top_left,overall_cvr,-0.44368227586028824,0.44368227586028824,180,1,"In vertical=gaming, higher logo_in_top_left is associated with lower overall_cvr (spearman=-0.444, n=180)."
vertical=ecommerce,text_area_total_rel,overall_cvr,0.4321306213154727,0.4321306213154727,180,1,"In vertical=ecommerce, higher text_area_total_rel is associated with higher overall_cvr (spearman=0.432, n=180)."
vertical=food_delivery,text_area_total_rel,overall_cvr,0.427068736689404,0.427068736689404,180,1,"In vertical=food_delivery, higher text_area_total_rel is associated with higher overall_cvr (spearman=0.427, n=180)."
vertical=entertainment,text_area_total_rel,overall_cvr,0.4231406319125076,0.4231406319125076,180,1,"In vertical=entertainment, higher text_area_total_rel is associated with higher overall_cvr (spearman=0.423, n=180)."
vertical=entertainment,image_aspect_ratio,ctr_decay_pct,0.4211478677786066,0.4211478677786066,180,1,"In vertical=entertainment, higher image_aspect_ratio is associated with higher ctr_decay_pct (spearman=0.421, n=180)."
all,subhead_y_relative,overall_ipm,-0.417501084219078,0.417501084219078,1080,1,"In all, higher subhead_y_relative is associated with lower overall_ipm (spearman=-0.418, n=1080)."
vertical=travel,headline_area_relative,overall_ctr,-0.4140093058160928,0.4140093058160928,180,1,"In vertical=travel, higher headline_area_relative is associated with lower overall_ctr (spearman=-0.414, n=180)."
vertical=gaming,image_aspect_ratio,overall_ipm,-0.4108872328049332,0.4108872328049332,180,1,"In vertical=gaming, higher image_aspect_ratio is associated with lower overall_ipm (spearman=-0.411, n=180)."
vertical=ecommerce,has_price_meta,overall_cvr,0.4065494838367414,0.4065494838367414,180,1,"In vertical=ecommerce, higher has_price_meta is associated with higher overall_cvr (spearman=0.407, n=180)."
all,bottom_zone_element_count,overall_cvr,-0.4052834394942975,0.4052834394942975,1080,1,"In all, higher bottom_zone_element_count is associated with lower overall_cvr (spearman=-0.405, n=1080)."
all,image_aspect_ratio,overall_ipm,-0.3976123778185882,0.3976123778185882,1080,0,"In all, higher image_aspect_ratio is associated with lower overall_ipm (spearman=-0.398, n=1080)."
vertical=food_delivery,has_price_meta,overall_cvr,0.3975812005620459,0.3975812005620459,180,0,"In vertical=food_delivery, higher has_price_meta is associated with higher overall_cvr (spearman=0.398, n=180)."
vertical=fintech,avg_text_area_rel,overall_cvr,0.3963858948249415,0.3963858948249415,180,0,"In vertical=fintech, higher avg_text_area_rel is associated with higher overall_cvr (spearman=0.396, n=180)."
vertical=ecommerce,middle_zone_element_count,overall_ctr,0.39348282396803835,0.39348282396803835,180,0,"In vertical=ecommerce, higher middle_zone_element_count is associated with higher overall_ctr (spearman=0.393, n=180)."
vertical=gaming,avg_text_area_rel,overall_ipm,0.3881354362788975,0.3881354362788975,180,0,"In vertical=gaming, higher avg_text_area_rel is associated with higher overall_ipm (spearman=0.388, n=180)."
vertical=entertainment,cta_headline_distance,ctr_decay_pct,-0.38701477685663593,0.38701477685663593,180,0,"In vertical=entertainment, higher cta_headline_distance is associated with lower ctr_decay_pct (spearman=-0.387, n=180)."
