column,family,role,dtype,missing_count,missing_pct,nunique,unique_ratio,is_constant,is_all_missing,is_high_missing,initial_recommendation,exact_duplicate_drop,high_corr_drop_candidate,in_cbr_final,is_candidate_similarity_feature
creative_id,base_tabular,entity_key,int64,0,0.0,1080,1.0,False,False,False,keep_as_metadata_not_feature,False,False,True,False
campaign_id,base_tabular,entity_key,int64,0,0.0,180,0.16666666666666666,False,False,False,keep_as_metadata_not_feature,False,False,True,False
advertiser_name,base_tabular,display_context_or_categorical,str,0,0.0,36,0.03333333333333333,False,False,False,candidate_feature,False,False,True,False
app_name,base_tabular,display_context_or_categorical,str,0,0.0,123,0.11388888888888889,False,False,False,candidate_feature,False,False,True,False
vertical,base_tabular,display_context_or_categorical,str,0,0.0,6,0.005555555555555556,False,False,False,candidate_feature,False,False,True,False
format,base_tabular,display_context_or_categorical,str,0,0.0,5,0.004629629629629629,False,False,False,candidate_feature,False,False,True,False
width,base_tabular,candidate_feature,int64,0,0.0,2,0.001851851851851852,False,False,False,candidate_feature,False,False,True,True
height,base_tabular,candidate_feature,int64,0,0.0,3,0.002777777777777778,False,False,False,candidate_feature,False,False,True,True
language,base_tabular,display_context_or_categorical,str,0,0.0,7,0.006481481481481481,False,False,False,candidate_feature,False,False,True,False
creative_launch_date,base_tabular,display_context_or_categorical,str,0,0.0,39,0.03611111111111111,False,False,False,candidate_feature,False,False,True,False
theme,base_tabular,display_context_or_categorical,str,0,0.0,20,0.018518518518518517,False,False,False,candidate_feature,False,False,True,False
hook_type,base_tabular,display_context_or_categorical,str,0,0.0,24,0.022222222222222223,False,False,False,candidate_feature,False,False,True,False
cta_text,base_tabular,display_text,str,0,0.0,10,0.009259259259259259,False,False,False,candidate_feature,False,False,True,False
headline,base_tabular,display_text,str,0,0.0,30,0.027777777777777776,False,False,False,candidate_feature,False,False,True,False
subhead,base_tabular,display_text,str,0,0.0,18,0.016666666666666666,False,False,False,candidate_feature,False,False,True,False
dominant_color,base_tabular,display_context_or_categorical,str,0,0.0,12,0.011111111111111112,False,False,False,candidate_feature,False,False,True,False
emotional_tone,base_tabular,display_context_or_categorical,str,0,0.0,7,0.006481481481481481,False,False,False,candidate_feature,False,False,True,False
duration_sec,base_tabular,candidate_feature,int64,0,0.0,9,0.008333333333333333,False,False,False,candidate_feature,False,False,True,True
text_density,base_tabular,candidate_feature,float64,0,0.0,548,0.5074074074074074,False,False,False,candidate_feature,False,False,True,True
copy_length_chars,base_tabular,candidate_feature,int64,0,0.0,89,0.0824074074074074,False,False,False,candidate_feature,False,False,True,True
readability_score,base_tabular,candidate_feature,float64,0,0.0,368,0.34074074074074073,False,False,False,candidate_feature,False,False,True,True
brand_visibility_score,base_tabular,candidate_feature,float64,0,0.0,517,0.4787037037037037,False,False,False,candidate_feature,False,False,True,True
clutter_score,base_tabular,candidate_feature,float64,0,0.0,482,0.4462962962962963,False,False,False,candidate_feature,False,False,True,True
novelty_score,base_tabular,candidate_feature,float64,0,0.0,577,0.5342592592592592,False,False,False,candidate_feature,False,False,True,True
motion_score,base_tabular,candidate_feature,float64,0,0.0,585,0.5416666666666666,False,False,False,candidate_feature,False,False,True,True
faces_count,base_tabular,candidate_feature,int64,0,0.0,5,0.004629629629629629,False,False,False,candidate_feature,False,False,True,True
product_count,base_tabular,candidate_feature,int64,0,0.0,5,0.004629629629629629,False,False,False,candidate_feature,False,False,True,True
has_price,base_tabular,candidate_feature,int64,0,0.0,2,0.001851851851851852,False,False,False,candidate_feature,False,False,True,True
has_discount_badge,base_tabular,candidate_feature,int64,0,0.0,2,0.001851851851851852,False,False,False,candidate_feature,False,False,True,True
has_gameplay,base_tabular,candidate_feature,int64,0,0.0,2,0.001851851851851852,False,False,False,candidate_feature,False,False,True,True
has_ugc_style,base_tabular,candidate_feature,int64,0,0.0,2,0.001851851851851852,False,False,False,candidate_feature,False,False,True,True
asset_file,base_tabular,asset_reference,str,0,0.0,1080,1.0,False,False,False,keep_as_metadata_not_feature,False,False,True,False
asset_exists,base_tabular,candidate_feature,bool,0,0.0,1,0.000925925925925926,True,False,False,drop_constant,False,False,False,False
aspect_ratio,base_tabular,candidate_feature,float64,0,0.0,3,0.002777777777777778,False,False,False,candidate_feature,False,True,False,False
asset_pixels,base_tabular,candidate_feature,int64,0,0.0,3,0.002777777777777778,False,False,False,candidate_feature,False,True,False,False
is_video_like,base_tabular,candidate_feature,int64,0,0.0,2,0.001851851851851852,False,False,False,candidate_feature,False,False,True,True
headline_chars,base_tabular,candidate_feature,int64,0,0.0,12,0.011111111111111112,False,False,False,candidate_feature,False,False,True,True
subhead_chars,base_tabular,candidate_feature,int64,0,0.0,12,0.011111111111111112,False,False,False,candidate_feature,False,False,True,True
advertiser_id,base_tabular,entity_key,int64,0,0.0,36,0.03333333333333333,False,False,False,keep_as_metadata_not_feature,False,False,True,False
objective,base_tabular,display_context_or_categorical,str,0,0.0,5,0.004629629629629629,False,False,False,candidate_feature,False,False,True,False
primary_theme,base_tabular,display_context_or_categorical,str,0,0.0,20,0.018518518518518517,False,False,False,candidate_feature,False,False,True,False
target_age_segment,base_tabular,display_context_or_categorical,str,0,0.0,4,0.003703703703703704,False,False,False,candidate_feature,False,False,True,False
target_os,base_tabular,display_context_or_categorical,str,0,0.0,3,0.002777777777777778,False,False,False,candidate_feature,False,False,True,False
start_date,base_tabular,display_context_or_categorical,str,0,0.0,21,0.019444444444444445,False,False,False,candidate_feature,False,False,True,False
end_date,base_tabular,display_context_or_categorical,str,0,0.0,47,0.04351851851851852,False,False,False,candidate_feature,False,False,True,False
daily_budget_usd,base_tabular,candidate_feature,int64,0,0.0,180,0.16666666666666666,False,False,False,candidate_feature,False,False,True,True
kpi_goal,base_tabular,display_context_or_categorical,str,0,0.0,4,0.003703703703703704,False,False,False,candidate_feature,False,False,True,False
campaign_duration_days,base_tabular,candidate_feature,int64,0,0.0,31,0.028703703703703703,False,False,False,candidate_feature,False,False,True,True
hq_region,base_tabular,display_context_or_categorical,str,0,0.0,4,0.003703703703703704,False,False,False,candidate_feature,False,False,True,False
first_3d_days_observed,early_3d,early_3d_feature,int64,0,0.0,1,0.000925925925925926,True,False,False,drop_constant,False,False,False,False
first_3d_spend_usd,early_3d,early_3d_feature,float64,0,0.0,1080,1.0,False,False,False,candidate_feature,False,False,True,True
first_3d_impressions,early_3d,early_3d_feature,int64,0,0.0,1078,0.9981481481481481,False,False,False,candidate_feature,False,False,True,True
first_3d_viewable_impressions,early_3d,early_3d_feature,int64,0,0.0,1080,1.0,False,False,False,candidate_feature,False,True,False,False
first_3d_clicks,early_3d,early_3d_feature,int64,0,0.0,1040,0.9629629629629629,False,False,False,candidate_feature,False,False,True,True
