group_id,keep_column,drop_column,group_columns
1,width,image_quality_width,"width, image_quality_width, cv_image_width, prompt_image_width"
1,width,cv_image_width,"width, image_quality_width, cv_image_width, prompt_image_width"
1,width,prompt_image_width,"width, image_quality_width, cv_image_width, prompt_image_width"
2,height,image_quality_height,"height, image_quality_height, cv_image_height, prompt_image_height"
2,height,cv_image_height,"height, image_quality_height, cv_image_height, prompt_image_height"
2,height,prompt_image_height,"height, image_quality_height, cv_image_height, prompt_image_height"
3,text_density,cv_text_density_meta,"text_density, cv_text_density_meta"
4,brand_visibility_score,cv_brand_visibility_meta,"brand_visibility_score, cv_brand_visibility_meta"
5,has_price,cv_has_price_meta,"has_price, cv_has_price_meta"
6,has_discount_badge,cv_has_discount_badge_meta,"has_discount_badge, cv_has_discount_badge_meta"
7,asset_exists,cv_cta_found,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,cv_cta_in_bottom_third,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,cv_headline_found,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,cv_subhead_found,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,cv_has_promo_badge,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,cv_logo_detected,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,prompt_detected_brand_logo,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,prompt_detected_primary_cta,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,prompt_detected_promo_badge,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,prompt_background_is_solid,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
7,asset_exists,prompt_cta_in_bottom_third,"asset_exists, cv_cta_found, cv_cta_in_bottom_third, cv_headline_found, cv_subhead_found, cv_has_promo_badge, cv_logo_detected, prompt_detected_brand_logo, prompt_detected_primary_cta, prompt_detected_promo_badge, prompt_background_is_solid, prompt_cta_in_bottom_third"
8,aspect_ratio,cv_image_aspect_ratio,"aspect_ratio, cv_image_aspect_ratio"
9,asset_pixels,vis_image_area,"asset_pixels, vis_image_area"
10,headline_chars,txtsel_headline_length,"headline_chars, txtsel_headline_length"
11,subhead_chars,txtsel_subhead_length,"subhead_chars, txtsel_subhead_length"
12,lifecycle_ctr,overall_ctr,"lifecycle_ctr, overall_ctr"
13,lifecycle_cvr,overall_cvr,"lifecycle_cvr, overall_cvr"
14,vis_brightness_std,vis_contrast,"vis_brightness_std, vis_contrast"
15,cv_ocr_element_count,prompt_text_element_count,"cv_ocr_element_count, prompt_text_element_count"
