col_a,col_b,abs_spearman
width,image_quality_width,1.0
width,cv_image_width,1.0
width,prompt_image_width,1.0
height,aspect_ratio,1.0
height,asset_pixels,1.0
height,vis_image_area,1.0
height,image_quality_height,1.0
height,cv_image_height,1.0
height,cv_image_aspect_ratio,1.0
height,prompt_image_height,1.0
height,prompt_image_aspect_ratio,1.0
text_density,cv_text_density_meta,1.0
brand_visibility_score,cv_brand_visibility_meta,1.0
has_price,cv_has_price_meta,1.0
has_discount_badge,cv_has_discount_badge_meta,1.0
aspect_ratio,asset_pixels,1.0
aspect_ratio,vis_image_area,1.0
aspect_ratio,image_quality_height,1.0
aspect_ratio,cv_image_height,1.0
aspect_ratio,cv_image_aspect_ratio,1.0
aspect_ratio,prompt_image_height,1.0
aspect_ratio,prompt_image_aspect_ratio,1.0
asset_pixels,vis_image_area,1.0
asset_pixels,image_quality_height,1.0
asset_pixels,cv_image_height,1.0
asset_pixels,cv_image_aspect_ratio,1.0
asset_pixels,prompt_image_height,1.0
asset_pixels,prompt_image_aspect_ratio,1.0
headline_chars,txtsel_headline_length,1.0
subhead_chars,txtsel_subhead_length,1.0
target_age_min,target_age_mid,1.0
target_age_min,target_age_max,1.0
target_age_max,target_age_mid,1.0
vis_image_area,image_quality_height,1.0
cv_image_width,prompt_image_width,1.0
cv_image_height,cv_image_aspect_ratio,1.0
cv_image_height,prompt_image_height,1.0
cv_image_height,prompt_image_aspect_ratio,1.0
image_quality_width,cv_image_width,1.0
image_quality_height,cv_image_aspect_ratio,1.0
vis_visual_mass_border_ratio,vis_saliency_center_bias,1.0
image_quality_height,cv_image_height,1.0
image_quality_width,prompt_image_width,1.0
vis_brightness_std,vis_contrast,1.0
vis_image_area,prompt_image_aspect_ratio,1.0
vis_image_area,prompt_image_height,1.0
vis_image_area,cv_image_aspect_ratio,1.0
vis_image_area,cv_image_height,1.0
cv_ocr_element_count,prompt_text_element_count,1.0
prompt_image_height,prompt_image_aspect_ratio,1.0
cv_image_aspect_ratio,prompt_image_height,1.0
cv_image_aspect_ratio,prompt_image_aspect_ratio,1.0
image_quality_height,prompt_image_aspect_ratio,1.0
image_quality_height,prompt_image_height,1.0
vis_visual_mass_top_ratio,vis_visual_mass_bottom_ratio,0.9999999976185012
prompt_text_total_area,prompt_total_text_area_ratio,0.9999999952370022
vis_visual_mass_center_ratio,vis_visual_mass_border_ratio,0.9999999904740049
vis_visual_mass_center_ratio,vis_saliency_center_bias,0.9999999904740049
vis_visual_mass_left_ratio,vis_visual_mass_right_ratio,0.999999978566511
cv_text_area_total_rel,prompt_total_text_area_ratio,0.9999999785665107
cv_text_area_total_rel,prompt_text_total_area,0.9999999642775179
vis_brightness_mean,prompt_brightness_mean,0.99999696120293
prompt_detected_product_area,prompt_product_zone_coverage,0.9999885690117336
vis_saturation_mean,prompt_saturation_mean,0.9998995063485909
first_14d_impressions,first_14d_viewable_impressions,0.9996386313774275
first_7d_avg_country_os_slices,first_14d_avg_country_os_slices,0.9994980773429835
first_7d_impressions,first_7d_viewable_impressions,0.9994809594874695
first_3d_avg_country_os_slices,first_7d_avg_country_os_slices,0.9994462686604422
first_3d_impressions,first_3d_viewable_impressions,0.9991073713917191
first_3d_avg_country_os_slices,first_14d_avg_country_os_slices,0.9989463802230536
first_7d_cvr,first_14d_cvr,0.9970932402421976
cv_cta_y_relative,prompt_cta_y_relative,0.9945515154165058
cv_cta_x_relative,prompt_cta_x_relative,0.9944913243231573
first_7d_roas,first_14d_roas,0.9932339619632733
first_3d_cvr,first_7d_cvr,0.9909351107315955
first_7d_ipm,first_14d_ipm,0.9906007292530258
first_7d_revenue_usd,first_14d_revenue_usd,0.9875252331701626
first_3d_cvr,first_14d_cvr,0.9872196701777095
first_7d_conversions,first_14d_conversions,0.9863380929156952
first_7d_ctr,first_14d_ctr,0.9861034307775945
