creative_id,landscape_x,landscape_y,landscape_method,vertical,format,creative_status,perf_score,overall_roas,asset_file
500000,-0.5770236,0.17276347,tsne_pca_fallback,gaming,interstitial,stable,0.3410493827160494,0.6732220740687788,assets/creative_500000.png
500001,-0.75178874,0.04292345,tsne_pca_fallback,gaming,rewarded_video,fatigued,0.5978395061728395,1.1266953986429848,assets/creative_500001.png
500002,-0.9334601,0.072769046,tsne_pca_fallback,gaming,rewarded_video,fatigued,0.6074074074074074,1.1081073729861737,assets/creative_500002.png
500003,-0.57877314,0.10238767,tsne_pca_fallback,gaming,interstitial,stable,0.4916666666666667,0.9491882669871504,assets/creative_500003.png
500004,-0.6301515,0.21973634,tsne_pca_fallback,gaming,rewarded_video,stable,0.5191358024691358,0.8619217377295777,assets/creative_500004.png
500005,-0.7235686,0.19841886,tsne_pca_fallback,gaming,rewarded_video,stable,0.5419753086419753,0.9345498333374836,assets/creative_500005.png
500006,-0.21619862,0.055696487,tsne_pca_fallback,ecommerce,banner,underperformer,0.1296296296296296,1.941227777254894,assets/creative_500006.png
500007,-0.13077992,0.033117294,tsne_pca_fallback,ecommerce,interstitial,stable,0.4419753086419752,3.050351291416699,assets/creative_500007.png
500008,0.119616985,0.27159667,tsne_pca_fallback,ecommerce,native,stable,0.2496913580246913,2.642289116341278,assets/creative_500008.png
500009,-0.066322446,-0.03634727,tsne_pca_fallback,ecommerce,banner,underperformer,0.1925925925925926,2.428691311133428,assets/creative_500009.png
500010,0.06736851,0.14337075,tsne_pca_fallback,ecommerce,native,stable,0.2487654320987654,2.588338237265342,assets/creative_500010.png
500011,-0.016900063,0.12577832,tsne_pca_fallback,ecommerce,interstitial,underperformer,0.2095679012345679,1.977829338344585,assets/creative_500011.png
500012,0.3982625,-0.6464242,tsne_pca_fallback,fintech,native,stable,0.3620370370370371,6.185969994816537,assets/creative_500012.png
500013,0.43096507,-0.083428025,tsne_pca_fallback,fintech,banner,stable,0.2617283950617284,5.085934194846565,assets/creative_500013.png
500014,0.6827339,0.4277742,tsne_pca_fallback,fintech,native,stable,0.3932098765432099,6.586175894670943,assets/creative_500014.png
