column,layer,dtype,missing_count,unique_count
creative_id,base_tabular_text_age,int64,0,1080
campaign_id,base_tabular_text_age,int64,0,180
advertiser_name,base_tabular_text_age,str,0,36
app_name,base_tabular_text_age,str,0,123
vertical,base_tabular_text_age,str,0,6
format,base_tabular_text_age,str,0,5
width,base_tabular_text_age,int64,0,2
height,base_tabular_text_age,int64,0,3
language,base_tabular_text_age,str,0,7
creative_launch_date,base_tabular_text_age,str,0,39
theme,base_tabular_text_age,str,0,20
hook_type,base_tabular_text_age,str,0,24
cta_text,base_tabular_text_age,str,0,10
headline,base_tabular_text_age,str,0,30
subhead,base_tabular_text_age,str,0,18
dominant_color,base_tabular_text_age,str,0,12
emotional_tone,base_tabular_text_age,str,0,7
duration_sec,base_tabular_text_age,int64,0,9
text_density,base_tabular_text_age,float64,0,548
copy_length_chars,base_tabular_text_age,int64,0,89
readability_score,base_tabular_text_age,float64,0,368
brand_visibility_score,base_tabular_text_age,float64,0,517
clutter_score,base_tabular_text_age,float64,0,482
novelty_score,base_tabular_text_age,float64,0,577
motion_score,base_tabular_text_age,float64,0,585
faces_count,base_tabular_text_age,int64,0,5
product_count,base_tabular_text_age,int64,0,5
has_price,base_tabular_text_age,int64,0,2
has_discount_badge,base_tabular_text_age,int64,0,2
has_gameplay,base_tabular_text_age,int64,0,2
has_ugc_style,base_tabular_text_age,int64,0,2
asset_file,base_tabular_text_age,str,0,1080
asset_exists,base_tabular_text_age,bool,0,1
aspect_ratio,base_tabular_text_age,float64,0,3
asset_pixels,base_tabular_text_age,int64,0,3
is_video_like,base_tabular_text_age,int64,0,2
headline_chars,base_tabular_text_age,int64,0,12
subhead_chars,base_tabular_text_age,int64,0,12
advertiser_id,base_tabular_text_age,int64,0,36
objective,base_tabular_text_age,str,0,5
primary_theme,base_tabular_text_age,str,0,20
target_age_segment,base_tabular_text_age,str,0,4
target_os,base_tabular_text_age,str,0,3
start_date,base_tabular_text_age,str,0,21
end_date,base_tabular_text_age,str,0,47
daily_budget_usd,base_tabular_text_age,int64,0,180
kpi_goal,base_tabular_text_age,str,0,4
campaign_duration_days,base_tabular_text_age,int64,0,31
hq_region,base_tabular_text_age,str,0,4
first_3d_days_observed,base_tabular_text_age,int64,0,1
first_3d_spend_usd,base_tabular_text_age,float64,0,1080
first_3d_impressions,base_tabular_text_age,int64,0,1078
first_3d_viewable_impressions,base_tabular_text_age,int64,0,1080
first_3d_clicks,base_tabular_text_age,int64,0,1040
first_3d_conversions,base_tabular_text_age,int64,0,708
first_3d_revenue_usd,base_tabular_text_age,float64,0,1080
first_3d_avg_country_os_slices,base_tabular_text_age,float64,0,10
first_3d_ctr_volatility,base_tabular_text_age,float64,0,1080
first_3d_ipm_volatility,base_tabular_text_age,float64,0,1080
first_3d_ctr,base_tabular_text_age,float64,0,1080
first_3d_viewability_rate,base_tabular_text_age,float64,0,1080
first_3d_cvr,base_tabular_text_age,float64,0,1080
first_3d_ipm,base_tabular_text_age,float64,0,1080
first_3d_roas,base_tabular_text_age,float64,0,1080
first_7d_days_observed,base_tabular_text_age,int64,0,1
first_7d_spend_usd,base_tabular_text_age,float64,0,1080
first_7d_impressions,base_tabular_text_age,int64,0,1080
first_7d_viewable_impressions,base_tabular_text_age,int64,0,1079
first_7d_clicks,base_tabular_text_age,int64,0,1053
first_7d_conversions,base_tabular_text_age,int64,0,870
first_7d_revenue_usd,base_tabular_text_age,float64,0,1080
first_7d_avg_country_os_slices,base_tabular_text_age,float64,0,14
first_7d_ctr_volatility,base_tabular_text_age,float64,0,1080
first_7d_ipm_volatility,base_tabular_text_age,float64,0,1080
first_7d_ctr,base_tabular_text_age,float64,0,1080
first_7d_viewability_rate,base_tabular_text_age,float64,0,1080
first_7d_cvr,base_tabular_text_age,float64,0,1080
first_7d_ipm,base_tabular_text_age,float64,0,1080
first_7d_roas,base_tabular_text_age,float64,0,1080
first_14d_days_observed,base_tabular_text_age,int64,0,1
first_14d_spend_usd,base_tabular_text_age,float64,0,1080
first_14d_impressions,base_tabular_text_age,int64,0,1080
first_14d_viewable_impressions,base_tabular_text_age,int64,0,1080
first_14d_clicks,base_tabular_text_age,int64,0,1066
first_14d_conversions,base_tabular_text_age,int64,0,916
first_14d_revenue_usd,base_tabular_text_age,float64,0,1080
first_14d_avg_country_os_slices,base_tabular_text_age,float64,0,19
first_14d_ctr_volatility,base_tabular_text_age,float64,0,1080
first_14d_ipm_volatility,base_tabular_text_age,float64,0,1080
first_14d_ctr,base_tabular_text_age,float64,0,1080
first_14d_viewability_rate,base_tabular_text_age,float64,0,1080
first_14d_cvr,base_tabular_text_age,float64,0,1079
first_14d_ipm,base_tabular_text_age,float64,0,1080
first_14d_roas,base_tabular_text_age,float64,0,1080
lifecycle_days,base_tabular_text_age,int64,0,47
lifecycle_spend_usd,base_tabular_text_age,float64,0,1079
lifecycle_impressions,base_tabular_text_age,int64,0,1080
lifecycle_clicks,base_tabular_text_age,int64,0,1065
lifecycle_conversions,base_tabular_text_age,int64,0,969
lifecycle_revenue_usd,base_tabular_text_age,float64,0,1080
lifecycle_ctr_std,base_tabular_text_age,float64,0,1080
lifecycle_ipm_std,base_tabular_text_age,float64,0,1080
lifecycle_max_days_since_launch,base_tabular_text_age,int64,0,47
lifecycle_ctr,base_tabular_text_age,float64,0,1080
lifecycle_cvr,base_tabular_text_age,float64,0,1080
lifecycle_ipm,base_tabular_text_age,float64,0,1080
lifecycle_roas,base_tabular_text_age,float64,0,1080
creative_status,base_tabular_text_age,str,0,4
fatigue_day,base_tabular_text_age,float64,881,9
perf_score,base_tabular_text_age,float64,0,907
overall_ctr,base_tabular_text_age,float64,0,1080
overall_cvr,base_tabular_text_age,float64,0,1080
overall_ipm,base_tabular_text_age,float64,0,1080
overall_roas,base_tabular_text_age,float64,0,1080
ctr_decay_pct,base_tabular_text_age,float64,0,1080
cvr_decay_pct,base_tabular_text_age,float64,0,1080
peak_rolling_ctr_5,base_tabular_text_age,float64,0,1080
has_fatigue,base_tabular_text_age,int64,0,2
txtsel_subhead_has_social,base_tabular_text_age,int64,0,2
txtsel_headline_has_social,base_tabular_text_age,int64,0,2
txtsel_subhead_word_count,base_tabular_text_age,int64,0,5
txtsel_headline_has_action,base_tabular_text_age,int64,0,2
txtsel_subhead_length,base_tabular_text_age,int64,0,12
txtsel_subhead_has_trust,base_tabular_text_age,int64,0,2
txtsel_headline_has_trust,base_tabular_text_age,int64,0,2
txtsel_headline_has_benefit,base_tabular_text_age,int64,0,2
txtsel_headline_has_urgency,base_tabular_text_age,int64,0,2
txtsel_cta_text_has_benefit,base_tabular_text_age,int64,0,2
txtsel_cta_text_word_count,base_tabular_text_age,int64,0,2
txtsel_cta_text_has_action,base_tabular_text_age,int64,0,2
txtsel_cta_text_length,base_tabular_text_age,int64,0,5
txtsel_headline_length,base_tabular_text_age,int64,0,12
target_age_min,base_tabular_text_age,float64,0,4
target_age_max,base_tabular_text_age,float64,0,4
target_age_mid,base_tabular_text_age,float64,0,4
vis_image_area,fe_vision_handcrafted,int64,0,3
