creative_id,campaign_id,advertiser_name,app_name,vertical,format,theme,hook_type,cta_text,headline,subhead,creative_status,fatigue_day,has_fatigue,perf_score,overall_roas,overall_ipm,overall_ctr,overall_cvr,ctr_decay_pct,cvr_decay_pct,peak_rolling_ctr_5,fatigue_label_score,ctr_decay_severity,cvr_decay_severity,early_fatigue_severity,tired_score,avg_top5_similarity,avg_top10_similarity,max_similarity,similar_neighbor_count_080,same_metadata_ratio,fatigued_neighbor_ratio,top_neighbor_status_mix,similarity_density_pct,neighbor_density_pct,repetition_score,creative_health_risk,fatigue_status,repetition_status,health_action_hint
500667,20111,CloudRoute,CloudRoute Travel,travel,rewarded_video,minimalist,late-night,Start now,Last-minute savings,Hotels + flights in one tap,fatigued,10.0,1,0.6768518518518518,7.832390612460514,0.3319924399922229,0.0066422899207267,0.049981624402793,-0.8670064912993862,-0.3766442657265617,0.0146331308229205,1.0,0.9967347834948308,1.0,0.33333333333333337,0.8658503625403744,0.4334,0.3985,0.4963,0,0.175,0.5,"{'fatigued': 0.5, 'stable': 0.3, 'top_performer': 0.2}",0.0824074074074074,0.4125,0.1880787037037037,0.8658503625403744,tired,distinct,Refresh
500937,20156,VoxelRealm,VoxelRealm Quest,gaming,interstitial,competitive,competition,Claim reward,Win epic rewards,No ads in first week,fatigued,10.0,1,0.6370370370370371,1.442452086045951,1.3260349042552524,0.0071170157720644,0.1863189497851298,-0.865431614852127,-0.2314013462715272,0.0143662557075469,1.0,0.9949242617162252,1.0,0.33333333333333337,0.8653977320957229,0.6851,0.6141,0.8093,1,0.275,0.4,"{'stable': 0.6, 'fatigued': 0.4}",0.9296296296296296,0.8939814814814815,0.7570601851851851,0.8653977320957229,tired,high_repetition,Refresh
500506,20084,VoxelRealm,VoxelRealm Legends,gaming,interstitial,food-closeup,save smarter,Get offer,Level up today,No ads in first week,fatigued,10.0,1,0.5882716049382716,1.2306561741658963,1.1611239642419824,0.0065245449682633,0.1779624433412475,-0.8637097586801825,-0.2314514485126415,0.0141191516631402,1.0,0.9929447679569798,1.0,0.33333333333333337,0.8649028586559115,0.5458,0.5151,0.5842,0,0.35,0.4,"{'stable': 0.6, 'fatigued': 0.4}",0.5814814814814815,0.4125,0.4813657407407408,0.8649028586559115,tired,distinct,Refresh
500940,20156,VoxelRealm,VoxelRealm Quest,gaming,rewarded_video,family,competition,Install now,Win epic rewards,No ads in first week,fatigued,10.0,1,0.6345679012345679,1.2815276739118198,1.4708256439691023,0.0073269436991884,0.2007420425698106,-0.8686090968963125,-0.2100201917159165,0.014014483999726,1.0,0.9985771834753498,0.9660679466543161,0.33333333333333337,0.8595245518663673,0.7412,0.6619,0.958,1,0.25,0.6,"{'fatigued': 0.6, 'stable': 0.3, 'top_performer': 0.1}",0.9851851851851852,0.8939814814814815,0.778587962962963,0.8595245518663673,tired,high_repetition,Refresh
500775,20129,RouteBloom,RouteBloom Travel,travel,rewarded_video,reward,last-minute deal,Get offer,Last-minute savings,Hotels + flights in one tap,fatigued,10.0,1,0.6197530864197531,8.036655897322943,0.3082982266042829,0.0059370789407535,0.0519275943070333,-0.8442921288879209,-0.2943677259844419,0.0134513807958347,1.0,0.9706217205274659,1.0,0.33333333333333337,0.8593220967985331,0.6029,0.5658,0.6655,0,0.4,0.4,"{'top_performer': 0.5, 'fatigued': 0.4, 'stable': 0.1}",0.7898148148148149,0.4125,0.5980324074074075,0.8593220967985331,tired,moderate_repetition,Refresh
500414,20069,NomadLayer,NomadLayer Trips,travel,rewarded_video,gameplay,discover,Shop now,Fly smarter,Hotels + flights in one tap,fatigued,11.0,1,0.6864197530864198,8.910075991125135,0.3290797330829222,0.0067014809398031,0.0491055239937144,-0.8413477731174366,-0.4496004486190943,0.0117015103691062,1.0,0.9672368072184234,1.0,0.2666666666666667,0.8451425351379392,0.7183,0.594,0.8883,1,0.3,0.4,"{'fatigued': 0.4, 'top_performer': 0.3, 'stable': 0.3}",0.8791666666666667,0.8939814814814815,0.7380787037037037,0.8451425351379392,tired,moderate_repetition,Refresh
500471,20078,NeonArena,NeonArena Rush,gaming,playable,fantasy,power-up,Try for free,Unlock rare gear,Free rewards for new players,fatigued,10.0,1,0.6654320987654321,1.4408116742630663,1.7415250681344188,0.0077328590442986,0.2252110193859567,-0.8849925930813374,-0.1814717091761947,0.0168928061071891,1.0,1.0,0.8347483164706081,0.33333333333333337,0.8336163299607883,0.6525,0.5902,0.6949,0,0.325,0.6,"{'fatigued': 0.6, 'stable': 0.4}",0.862037037037037,0.4125,0.6153935185185185,0.8336163299607883,tired,moderate_repetition,Refresh
500486,20081,DriftPass,DriftPass Travel,travel,interstitial,discount,free shipping,Try for free,Escape this weekend,Hotels + flights in one tap,fatigued,12.0,1,0.6339506172839506,6.24295608409436,0.3615715660808596,0.0060830616767687,0.0594390761253829,-0.8460800712269496,-0.2497257435397367,0.0126560269409568,1.0,0.9726771887829828,1.0,0.19999999999999996,0.8331692971957456,0.5679,0.5313,0.6339,0,0.275,0.2,"{'stable': 0.7, 'fatigued': 0.2, 'top_performer': 0.1}",0.6564814814814814,0.4125,0.5001157407407407,0.8331692971957456,tired,distinct,Refresh
500642,20107,StarVault,StarVault Plus,entertainment,rewarded_video,drama,watch now,Learn more,Watch what’s trending,Start free today,fatigued,12.0,1,0.641358024691358,2.0628805087073925,0.6189817637932422,0.0061472374297062,0.1006926722566532,-0.8550673987412649,-0.2139412919023113,0.0126660375103944,1.0,0.9830092705310132,0.9841045419680666,0.19999999999999996,0.8325732260263666,0.5919,0.5565,0.6413,0,0.325,0.3,"{'stable': 0.6, 'fatigued': 0.3, 'underperformer': 0.1}",0.7601851851851852,0.4125,0.5644675925925926,0.8325732260263666,tired,moderate_repetition,Refresh
500392,20065,BingeLayer,BingeLayer Now,entertainment,rewarded_video,urgency,watch now,Shop now,A new season drops,Start free today,fatigued,12.0,1,0.6734567901234567,2.920374736897293,0.5293233038020457,0.0059685381371868,0.0886855862584018,-0.8416735386017407,-0.2159239664744777,0.0121627759782568,1.0,0.9676113162823421,0.9932246096014082,0.19999999999999996,0.8305477509908672,0.5636,0.4648,0.8694,1,0.3,0.1,"{'stable': 0.9, 'fatigued': 0.1}",0.33796296296296297,0.8939814814814815,0.46747685185185184,0.8305477509908672,tired,distinct,Refresh
