row_a,row_b,cosine_sim
17,17,1.0
70,70,1.0
50,377,1.0
219,252,1.0
250,250,1.0
129,129,1.0
113,973,1.0
254,756,1.0
183,183,1.0
173,173,1.0
252,252,1.0
165,165,1.0
238,920,1.0
246,246,1.0
940,940,1.0
183,867,1.0
902,902,1.0
165,847,1.0
814,814,1.0
973,973,1.0
616,616,1.0
252,470,1.0
173,564,1.0
580,940,1.0
578,578,1.0
592,592,1.0
70,391,1.0
377,377,1.0
399,902,1.0
398,398,1.0
129,344,1.0
341,592,1.0
301,301,1.0
293,616,1.0
288,398,1.0
301,950,1.0
578,613,1.0
648,687,1.0
631,631,1.0
687,687,1.0
250,715,1.0
756,756,1.0
631,992,1.0
920,920,1.0
814,957,1.0
417,417,0.9999999403953552
131,666,0.9999999403953552
75,974,0.9999999403953552
686,686,0.9999999403953552
666,666,0.9999999403953552
417,634,0.9999999403953552
507,686,0.9999999403953552
175,503,0.9999998807907104
446,589,0.9999998807907104
967,970,0.9999998807907104
716,969,0.9999998807907104
776,776,0.9999998807907104
665,665,0.9999998807907104
754,754,0.9999998807907104
175,175,0.9999998807907104
75,75,0.9999998807907104
970,970,0.9999998211860657
414,776,0.9999998211860657
264,410,0.9999997019767761
361,365,0.9999996423721313
264,264,0.9999996423721313
365,365,0.9999995827674866
326,470,0.9997462034225464
381,558,0.9996074438095093
666,1029,0.9993194341659546
505,905,0.9991372227668762
505,905,0.9991371035575867
757,1012,0.9991114735603333
577,617,0.9989696145057678
77,184,0.9988574981689453
345,454,0.998835027217865
94,668,0.9987261891365051
593,952,0.9984251856803894
761,833,0.9984235167503357
56,489,0.998333215713501
562,815,0.9981785416603088
184,937,0.9980913996696472
282,320,0.9980858564376831
704,957,0.9980781078338623
956,990,0.9974192976951599
90,705,0.9974107146263123
62,64,0.9973741173744202
22,776,0.9971868395805359
121,625,0.9969043135643005
223,227,0.9969013333320618
319,393,0.9968897700309753
319,393,0.9968896508216858
319,358,0.9967941045761108
828,864,0.9967925548553467
563,958,0.9966216683387756
329,614,0.9964748024940491
401,972,0.9962190985679626
89,193,0.9961593151092529
139,966,0.9958336353302002
221,509,0.9957646131515503
221,509,0.9957645535469055
192,230,0.9956581592559814
181,832,0.9956388473510742
347,526,0.9955530166625977
627,877,0.9955205321311951
7,978,0.9954088926315308
7,978,0.995408833026886
899,1006,0.9953197836875916
292,939,0.9952629208564758
617,797,0.9951959252357483
560,599,0.9951836466789246
125,809,0.9950953722000122
69,1074,0.9950855374336243
69,1074,0.9950854182243347
697,1023,0.9950417280197144
94,1062,0.99466472864151
722,903,0.9946631193161011
23,234,0.994607150554657
36,256,0.9944896697998047
235,417,0.9944694638252258
234,346,0.9943347573280334
484,771,0.9942943453788757
849,850,0.9942043423652649
198,596,0.9940707683563232
266,412,0.9940299391746521
719,861,0.9938428997993469
112,902,0.9937881827354431
213,285,0.9937053322792053
213,285,0.9937052726745605
468,652,0.9936942458152771
76,507,0.9936525225639343
180,720,0.9936316013336182
252,290,0.993468165397644
1041,1075,0.9934656023979187
540,866,0.9933705925941467
572,1041,0.9932936429977417
847,923,0.9932457804679871
272,561,0.9932406544685364
176,393,0.993130624294281
166,414,0.9931141138076782
337,663,0.9930749535560608
31,575,0.9927619099617004
133,457,0.9927441477775574
813,1065,0.9927029013633728
601,782,0.9923095107078552
433,758,0.9922559261322021
282,539,0.9921360611915588
185,216,0.9917007684707642
660,877,0.9911842942237854
508,904,0.9911007881164551
508,904,0.9911007285118103
715,933,0.9910792112350464
316,1071,0.9908425211906433
49,590,0.9907016158103943
595,634,0.99034583568573
54,812,0.9903002381324768
54,812,0.9902999997138977
391,536,0.9896854162216187
580,649,0.9888535141944885
445,555,0.9879746437072754
214,753,0.9879587292671204
214,753,0.9879586696624756
309,631,0.9877038598060608
99,999,0.9874459505081177
900,936,0.9874381422996521
304,484,0.9864190816879272
412,732,0.9862785935401917
91,416,0.9858139157295227
368,547,0.985644519329071
75,1008,0.9854753017425537
89,985,0.985020637512207
155,728,0.9849143028259277
630,887,0.9849088788032532
246,467,0.9846092462539673
653,867,0.9844896197319031
7,946,0.9841664433479309
21,1065,0.984035849571228
110,758,0.983982503414154
55,164,0.9838432669639587
55,164,0.9838431477546692
325,576,0.9834802150726318
189,982,0.9830620288848877
919,958,0.9828969836235046
148,1046,0.9823724627494812
281,929,0.9821661114692688
385,456,0.9821229577064514
122,267,0.9820747375488281
168,1070,0.9817649126052856
491,1065,0.9817447662353516
119,1050,0.9817150831222534
181,544,0.981387734413147
279,312,0.9810522198677063
499,679,0.9809709191322327
678,899,0.9809191823005676
304,770,0.9808003902435303
