cosine_sim,a_creative_id,a_campaign_id,a_advertiser_name,a_app_name,a_vertical,a_format,b_creative_id,b_campaign_id,b_advertiser_name,b_app_name,b_vertical,b_format
1.0,500017,20002,EarnPath,EarnPath Invest,fintech,banner,500017,20002,EarnPath,EarnPath Invest,fintech,banner
1.0,500070,20011,FluxStream,FluxStream Play,entertainment,rewarded_video,500070,20011,FluxStream,FluxStream Play,entertainment,rewarded_video
1.0,500050,20008,CoinBridge,CoinBridge Invest,fintech,banner,500377,20062,ClearLedger,ClearLedger Cash,fintech,banner
1.0,500219,20036,PixelForge,PixelForge Legends,gaming,playable,500252,20042,NeonArena,NeonArena Arena,gaming,playable
1.0,500250,20041,MoonScreen,MoonScreen Stream,entertainment,interstitial,500250,20041,MoonScreen,MoonScreen Stream,entertainment,interstitial
1.0,500129,20021,RouteBloom,RouteBloom Getaway,travel,rewarded_video,500129,20021,RouteBloom,RouteBloom Getaway,travel,rewarded_video
1.0,500113,20018,StormByte,StormByte Saga,gaming,playable,500973,20162,StormByte,StormByte Arena,gaming,playable
1.0,500254,20042,NeonArena,NeonArena Arena,gaming,rewarded_video,500756,20126,StormByte,StormByte Arena,gaming,rewarded_video
1.0,500183,20030,IronQuest,IronQuest Saga,gaming,interstitial,500183,20030,IronQuest,IronQuest Saga,gaming,interstitial
1.0,500173,20028,QuickFork,QuickFork Kitchen,food_delivery,banner,500173,20028,QuickFork,QuickFork Kitchen,food_delivery,banner
1.0,500252,20042,NeonArena,NeonArena Arena,gaming,playable,500252,20042,NeonArena,NeonArena Arena,gaming,playable
1.0,500165,20027,WayPoint,WayPoint Trips,travel,interstitial,500165,20027,WayPoint,WayPoint Trips,travel,interstitial
1.0,500238,20039,CloudRoute,CloudRoute Trips,travel,interstitial,500920,20153,DriftPass,DriftPass Trips,travel,interstitial
1.0,500246,20041,MoonScreen,MoonScreen Stream,entertainment,interstitial,500246,20041,MoonScreen,MoonScreen Stream,entertainment,interstitial
1.0,500940,20156,VoxelRealm,VoxelRealm Quest,gaming,rewarded_video,500940,20156,VoxelRealm,VoxelRealm Quest,gaming,rewarded_video
1.0,500183,20030,IronQuest,IronQuest Saga,gaming,interstitial,500867,20144,PixelForge,PixelForge Legends,gaming,interstitial
1.0,500902,20150,NeonArena,NeonArena Saga,gaming,rewarded_video,500902,20150,NeonArena,NeonArena Saga,gaming,rewarded_video
1.0,500165,20027,WayPoint,WayPoint Trips,travel,interstitial,500847,20141,NomadLayer,NomadLayer Travel,travel,interstitial
1.0,500814,20135,WayPoint,WayPoint Trips,travel,interstitial,500814,20135,WayPoint,WayPoint Trips,travel,interstitial
1.0,500973,20162,StormByte,StormByte Arena,gaming,playable,500973,20162,StormByte,StormByte Arena,gaming,playable
1.0,500616,20102,IronQuest,IronQuest Arena,gaming,playable,500616,20102,IronQuest,IronQuest Arena,gaming,playable
1.0,500252,20042,NeonArena,NeonArena Arena,gaming,playable,500470,20078,NeonArena,NeonArena Rush,gaming,playable
1.0,500173,20028,QuickFork,QuickFork Kitchen,food_delivery,banner,500564,20094,CraveLoop,CraveLoop Express,food_delivery,banner
1.0,500580,20096,GlitchWave,GlitchWave Legends,gaming,rewarded_video,500940,20156,VoxelRealm,VoxelRealm Quest,gaming,rewarded_video
1.0,500578,20096,GlitchWave,GlitchWave Legends,gaming,interstitial,500578,20096,GlitchWave,GlitchWave Legends,gaming,interstitial
1.0,500592,20098,ClearLedger,ClearLedger Wallet,fintech,rewarded_video,500592,20098,ClearLedger,ClearLedger Wallet,fintech,rewarded_video
1.0,500070,20011,FluxStream,FluxStream Play,entertainment,rewarded_video,500391,20065,BingeLayer,BingeLayer Now,entertainment,rewarded_video
1.0,500377,20062,ClearLedger,ClearLedger Cash,fintech,banner,500377,20062,ClearLedger,ClearLedger Cash,fintech,banner
1.0,500399,20066,IronQuest,IronQuest Battle,gaming,playable,500902,20150,NeonArena,NeonArena Saga,gaming,rewarded_video
1.0,500398,20066,IronQuest,IronQuest Battle,gaming,playable,500398,20066,IronQuest,IronQuest Battle,gaming,playable
1.0,500129,20021,RouteBloom,RouteBloom Getaway,travel,rewarded_video,500344,20057,RouteBloom,RouteBloom Deals,travel,rewarded_video
1.0,500341,20056,NovaPay,NovaPay Bank,fintech,rewarded_video,500592,20098,ClearLedger,ClearLedger Wallet,fintech,rewarded_video
1.0,500301,20050,VaultRun,VaultRun Cash,fintech,interstitial,500301,20050,VaultRun,VaultRun Cash,fintech,interstitial
1.0,500293,20048,VoxelRealm,VoxelRealm Legends,gaming,rewarded_video,500616,20102,IronQuest,IronQuest Arena,gaming,playable
1.0,500288,20048,VoxelRealm,VoxelRealm Legends,gaming,rewarded_video,500398,20066,IronQuest,IronQuest Battle,gaming,playable
