column,dtype,group,description,is_embedding,embedding_family,embedding_index,non_null_count,missing_count,missing_pct,unique_count,memory_mb
copy_length_chars,int64,copy_video,Longitud del copy en caracteres.,False,,,1080,0,0.0,89,0.00823974609375
duration_sec,int64,copy_video,Duracion del asset en segundos.,False,,,1080,0,0.0,9,0.00823974609375
readability_score,float64,copy_video,Score de legibilidad del texto.,False,,,1080,0,0.0,368,0.00823974609375
text_density,float64,copy_video,Densidad de texto dentro de la creatividad.,False,,,1080,0,0.0,548,0.00823974609375
brand_visibility_score,float64,creative_attributes,Visibilidad de marca estimada.,False,,,1080,0,0.0,517,0.00823974609375
clutter_score,float64,creative_attributes,Nivel de saturacion visual.,False,,,1080,0,0.0,482,0.00823974609375
faces_count,int64,creative_attributes,Numero de caras detectadas.,False,,,1080,0,0.0,5,0.00823974609375
has_discount_badge,int64,creative_attributes,Flag binario: muestra badge de descuento.,False,,,1080,0,0.0,2,0.00823974609375
has_gameplay,int64,creative_attributes,Flag binario: incluye gameplay.,False,,,1080,0,0.0,2,0.00823974609375
has_price,int64,creative_attributes,Flag binario: muestra precio.,False,,,1080,0,0.0,2,0.00823974609375
has_ugc_style,int64,creative_attributes,Flag binario: estilo UGC.,False,,,1080,0,0.0,2,0.00823974609375
motion_score,float64,creative_attributes,Score de movimiento visual.,False,,,1080,0,0.0,585,0.00823974609375
novelty_score,float64,creative_attributes,Score de novedad percibida.,False,,,1080,0,0.0,577,0.00823974609375
product_count,int64,creative_attributes,Numero de productos detectados.,False,,,1080,0,0.0,5,0.00823974609375
aspect_ratio,float64,dimensiones,Relacion de aspecto del asset (ancho/alto).,False,,,1080,0,0.0,3,0.00823974609375
height_x,int64,dimensiones,Alto original del creativo en pixeles (origen tabla base).,False,,,1080,0,0.0,3,0.00823974609375
height_y,int64,dimensiones,Alto usado en el pipeline visual (post-join).,False,,,1080,0,0.0,3,0.00823974609375
image_area,int64,dimensiones,Area de imagen en pixeles.,False,,,1080,0,0.0,3,0.00823974609375
width_x,int64,dimensiones,Ancho original del creativo en pixeles (origen tabla base).,False,,,1080,0,0.0,2,0.00823974609375
width_y,int64,dimensiones,Ancho usado en el pipeline visual (post-join).,False,,,1080,0,0.0,2,0.00823974609375
clip_pca_0,float64,embeddings_pca,Componente PCA 0 del embedding CLIP.,True,clip_pca,0,1080,0,0.0,1056,0.00823974609375
clip_pca_1,float64,embeddings_pca,Componente PCA 1 del embedding CLIP.,True,clip_pca,1,1080,0,0.0,1056,0.00823974609375
clip_pca_10,float64,embeddings_pca,Componente PCA 10 del embedding CLIP.,True,clip_pca,10,1080,0,0.0,1058,0.00823974609375
clip_pca_11,float64,embeddings_pca,Componente PCA 11 del embedding CLIP.,True,clip_pca,11,1080,0,0.0,1059,0.00823974609375
clip_pca_12,float64,embeddings_pca,Componente PCA 12 del embedding CLIP.,True,clip_pca,12,1080,0,0.0,1060,0.00823974609375
clip_pca_13,float64,embeddings_pca,Componente PCA 13 del embedding CLIP.,True,clip_pca,13,1080,0,0.0,1060,0.00823974609375
clip_pca_14,float64,embeddings_pca,Componente PCA 14 del embedding CLIP.,True,clip_pca,14,1080,0,0.0,1059,0.00823974609375
clip_pca_15,float64,embeddings_pca,Componente PCA 15 del embedding CLIP.,True,clip_pca,15,1080,0,0.0,1059,0.00823974609375
clip_pca_16,float64,embeddings_pca,Componente PCA 16 del embedding CLIP.,True,clip_pca,16,1080,0,0.0,1062,0.00823974609375
clip_pca_17,float64,embeddings_pca,Componente PCA 17 del embedding CLIP.,True,clip_pca,17,1080,0,0.0,1060,0.00823974609375
clip_pca_18,float64,embeddings_pca,Componente PCA 18 del embedding CLIP.,True,clip_pca,18,1080,0,0.0,1062,0.00823974609375
clip_pca_19,float64,embeddings_pca,Componente PCA 19 del embedding CLIP.,True,clip_pca,19,1080,0,0.0,1061,0.00823974609375
clip_pca_2,float64,embeddings_pca,Componente PCA 2 del embedding CLIP.,True,clip_pca,2,1080,0,0.0,1059,0.00823974609375
clip_pca_20,float64,embeddings_pca,Componente PCA 20 del embedding CLIP.,True,clip_pca,20,1080,0,0.0,1059,0.00823974609375
clip_pca_21,float64,embeddings_pca,Componente PCA 21 del embedding CLIP.,True,clip_pca,21,1080,0,0.0,1060,0.00823974609375
clip_pca_22,float64,embeddings_pca,Componente PCA 22 del embedding CLIP.,True,clip_pca,22,1080,0,0.0,1061,0.00823974609375
clip_pca_23,float64,embeddings_pca,Componente PCA 23 del embedding CLIP.,True,clip_pca,23,1080,0,0.0,1060,0.00823974609375
clip_pca_24,float64,embeddings_pca,Componente PCA 24 del embedding CLIP.,True,clip_pca,24,1080,0,0.0,1060,0.00823974609375
clip_pca_25,float64,embeddings_pca,Componente PCA 25 del embedding CLIP.,True,clip_pca,25,1080,0,0.0,1062,0.00823974609375
clip_pca_26,float64,embeddings_pca,Componente PCA 26 del embedding CLIP.,True,clip_pca,26,1080,0,0.0,1062,0.00823974609375
clip_pca_27,float64,embeddings_pca,Componente PCA 27 del embedding CLIP.,True,clip_pca,27,1080,0,0.0,1061,0.00823974609375
clip_pca_28,float64,embeddings_pca,Componente PCA 28 del embedding CLIP.,True,clip_pca,28,1080,0,0.0,1062,0.00823974609375
clip_pca_29,float64,embeddings_pca,Componente PCA 29 del embedding CLIP.,True,clip_pca,29,1080,0,0.0,1060,0.00823974609375
clip_pca_3,float64,embeddings_pca,Componente PCA 3 del embedding CLIP.,True,clip_pca,3,1080,0,0.0,1058,0.00823974609375
clip_pca_30,float64,embeddings_pca,Componente PCA 30 del embedding CLIP.,True,clip_pca,30,1080,0,0.0,1062,0.00823974609375
clip_pca_31,float64,embeddings_pca,Componente PCA 31 del embedding CLIP.,True,clip_pca,31,1080,0,0.0,1062,0.00823974609375
clip_pca_32,float64,embeddings_pca,Componente PCA 32 del embedding CLIP.,True,clip_pca,32,1080,0,0.0,1063,0.00823974609375
clip_pca_33,float64,embeddings_pca,Componente PCA 33 del embedding CLIP.,True,clip_pca,33,1080,0,0.0,1063,0.00823974609375
clip_pca_34,float64,embeddings_pca,Componente PCA 34 del embedding CLIP.,True,clip_pca,34,1080,0,0.0,1062,0.00823974609375
clip_pca_35,float64,embeddings_pca,Componente PCA 35 del embedding CLIP.,True,clip_pca,35,1080,0,0.0,1062,0.00823974609375
clip_pca_36,float64,embeddings_pca,Componente PCA 36 del embedding CLIP.,True,clip_pca,36,1080,0,0.0,1062,0.00823974609375
clip_pca_37,float64,embeddings_pca,Componente PCA 37 del embedding CLIP.,True,clip_pca,37,1080,0,0.0,1061,0.00823974609375
clip_pca_38,float64,embeddings_pca,Componente PCA 38 del embedding CLIP.,True,clip_pca,38,1080,0,0.0,1059,0.00823974609375
clip_pca_39,float64,embeddings_pca,Componente PCA 39 del embedding CLIP.,True,clip_pca,39,1080,0,0.0,1062,0.00823974609375
clip_pca_4,float64,embeddings_pca,Componente PCA 4 del embedding CLIP.,True,clip_pca,4,1080,0,0.0,1059,0.00823974609375
