column,count,mean,std,min,25%,50%,75%,max
creative_id,1080.0,500539.5,311.91344953368076,500000.0,500269.75,500539.5,500809.25,501079.0
campaign_id,1080.0,20089.5,51.98479495385944,20000.0,20044.75,20089.5,20134.25,20179.0
width_x,1080.0,341.9259259259259,19.916276894359147,320.0,320.0,360.0,360.0,360.0
height_x,1080.0,524.8888888888889,137.42429600746723,320.0,320.0,640.0,640.0,640.0
duration_sec,1080.0,5.832407407407407,8.11859875398532,0.0,0.0,0.0,10.0,30.0
text_density,1080.0,0.4230148148148148,0.1920710204292974,0.05,0.284,0.421,0.56025,0.95
copy_length_chars,1080.0,52.842592592592595,18.67008432973129,12.0,40.0,52.0,66.0,117.0
readability_score,1080.0,0.8118657407407408,0.10760024329090831,0.421,0.739,0.821,0.889,0.99
brand_visibility_score,1080.0,0.6121277777777777,0.16998723815879566,0.15,0.49375,0.608,0.72925,0.98
clutter_score,1080.0,0.3395768518518518,0.15445938973764095,0.02,0.232,0.3365,0.446,0.851
novelty_score,1080.0,0.5980203703703705,0.2081475281330255,0.05,0.45575,0.603,0.7515000000000001,0.99
motion_score,1080.0,0.5456916666666667,0.24408036690756435,0.0,0.366,0.5265,0.71925,1.0
faces_count,1080.0,1.1333333333333333,1.0363191438612294,0.0,0.0,1.0,2.0,4.0
product_count,1080.0,1.4851851851851852,1.0077378859906718,0.0,1.0,1.0,2.0,4.0
has_price,1080.0,0.3638888888888889,0.48134009975073827,0.0,0.0,0.0,1.0,1.0
has_discount_badge,1080.0,0.3509259259259259,0.47748091109268437,0.0,0.0,0.0,1.0,1.0
has_gameplay,1080.0,0.11203703703703703,0.3155581408228773,0.0,0.0,0.0,0.0,1.0
has_ugc_style,1080.0,0.37407407407407406,0.4841070758269135,0.0,0.0,0.0,1.0,1.0
fatigue_day,199.0,12.140703517587939,1.5505950332400709,10.0,11.0,12.0,13.0,17.0
total_days_active,1080.0,48.471296296296295,8.87254568317791,28.0,42.0,48.0,55.0,74.0
total_spend_usd,1080.0,29628.585083333335,13622.962488983834,8248.88,20131.0825,26638.04,36083.805,106633.22
total_impressions,1080.0,5895828.801851852,3492825.050869544,1012224.0,3540057.5,5027633.5,7274785.25,33914048.0
total_clicks,1080.0,28380.337962962964,11282.511118277407,6823.0,20473.0,26855.0,34504.0,86493.0
total_conversions,1080.0,2925.9509259259257,2242.056302953932,402.0,1483.0,2136.5,3498.25,15689.0
total_revenue_usd,1080.0,100147.70491666667,78677.80371792936,14523.15,44849.5775,65515.270000000004,150755.8175,483545.52
overall_ctr,1080.0,0.005410072946542673,0.0017908502374437895,0.0022764259440779,0.004091588090961375,0.0051341255902007995,0.0062923314228363,0.0142221655941644
overall_cvr,1080.0,0.09821999460682176,0.046971771787627625,0.0406883610233878,0.06304430318985416,0.0889681347845208,0.10431742421664437,0.2412562814070351
overall_ipm,1080.0,0.5673990429667636,0.462484224387601,0.1264021030997586,0.3082339936115409,0.404203682900894,0.5695723105211529,3.085427954661468
overall_roas,1080.0,3.6354246065767937,2.689506216039859,0.6732220740687788,1.6847418487399253,2.325914117144338,5.641986296490064,13.391615987485372
first_7d_ctr,1080.0,0.010330289953795707,0.0030124565843480744,0.0034681534076414,0.008271921458998901,0.01010376809954695,0.0120691663159559,0.0201104168859376
last_7d_ctr,1080.0,0.0021681323650251942,0.0008450692169278382,0.0016612135360182,0.0017870539770067,0.0018334006998617,0.002083899807781075,0.0084695591685105
ctr_decay_pct,1080.0,-0.7805378829345713,0.07101150851575759,-0.9003128653642095,-0.8320516195634423,-0.7954474680723799,-0.7401299659543739,-0.4772373408299529
first_7d_cvr,1080.0,0.10102011421880809,0.048385139330378066,0.0405939245334423,0.06429225727286846,0.09136516140776954,0.10683108769147084,0.2489561586638831
last_7d_cvr,1080.0,0.09389704402689647,0.045022446058001174,0.0285714285714285,0.061051974442766874,0.08361743908948835,0.10172906053785094,0.237045203969129
cvr_decay_pct,1080.0,-0.06672307365307177,0.09551951624854739,-0.4496004486190943,-0.12419502988754896,-0.067841843782022,-0.011509114509639025,0.338438748087982
peak_rolling_ctr_5,1080.0,0.010922473656365225,0.002995786813258599,0.0044783390635738,0.008808786780620225,0.01065643205777415,0.012623666804866025,0.0205539090332274
peak_day_impressions,1080.0,298588.7074074074,284722.3604009472,35450.0,132574.75,206034.5,354186.75,2584210.0
first_7d_impressions,1080.0,1431956.8111111112,1263937.4265249593,182695.0,702601.5,1060482.5,1703451.75,14523579.0
first_7d_clicks,1080.0,13053.771296296296,8074.790491491018,1714.0,7405.5,11087.0,16356.5,67561.0
first_7d_conversions,1080.0,1388.1407407407407,1344.2936793693584,162.0,575.0,948.0,1717.5,12470.0
last_7d_impressions,1080.0,765761.0018518518,372278.34127032704,171400.0,514956.0,690002.0,940497.25,2538226.0
last_7d_clicks,1080.0,1558.8407407407408,686.8865895084365,363.0,1084.75,1421.5,1918.0,4733.0
last_7d_conversions,1080.0,147.20092592592593,104.1600563076066,20.0,80.0,119.0,183.25,1059.0
perf_score,1080.0,0.500462962962963,0.19082702842847613,0.0089506172839506,0.3566358024691358,0.5123456790123457,0.647145061728395,0.9351851851851852
width_y,1080.0,341.9259259259259,19.916276894359147,320.0,320.0,360.0,360.0,360.0
height_y,1080.0,524.8888888888889,137.42429600746723,320.0,320.0,640.0,640.0,640.0
aspect_ratio,1080.0,0.6987654320987654,0.18623125583339334,0.5625,0.5625,0.5625,1.0,1.0
image_area,1080.0,181997.03703703705,55956.18561467156,102400.0,102400.0,230400.0,230400.0,230400.0
