campaign_id,country
20000,CA
20000,US
20000,ES
20000,JP
20001,ES
20001,UK
20001,MX
20002,CA
20002,MX
20002,IT
20002,BR
20003,DE
20003,JP
20003,BR
20004,IT
20004,DE
20004,US
20005,ES
20005,IT
20006,BR
20006,FR
20006,IT
20007,US
20007,JP
20008,MX
20008,DE
20008,UK
20008,BR
20009,IT
20009,US
20009,ES
20010,MX
20010,UK
20011,FR
20011,DE
20012,JP
20012,FR
20012,CA
20013,BR
20013,DE
20014,DE
20014,UK
20014,MX
20014,IT
20015,ES
20015,MX
20015,JP
20016,DE
20016,MX
20016,CA
20017,MX
20017,US
20017,JP
20017,DE
20018,IT
20018,DE
20019,US
20019,UK
20020,BR
20020,MX
20021,ES
20021,US
20022,US
20022,DE
20023,MX
20023,US
20024,BR
20024,MX
20024,JP
20025,US
20025,CA
20025,JP
20025,UK
20026,FR
20026,BR
20026,ES
20026,IT
20027,IT
20027,CA
20028,UK
20028,JP
20028,ES
20029,BR
20029,IT
20029,DE
20030,BR
20030,JP
20030,MX
20031,ES
20031,CA
20032,IT
20032,UK
20032,JP
20033,FR
20033,US
20034,CA
20034,JP
20034,US
20035,FR
20035,US
20036,BR
20036,UK
20036,FR
20037,JP
20037,CA
20038,ES
20038,DE
20039,FR
20039,IT
20040,US
20040,JP
20040,UK
20041,US
20041,FR
20042,BR
20042,ES
20042,MX
20043,US
20043,FR
20043,BR
20044,FR
20044,UK
20045,US
20045,MX
20046,ES
20046,JP
20046,FR
20046,US
20047,FR
20047,ES
20048,FR
20048,US
20048,ES
20049,JP
20049,US
20050,FR
20050,JP
20050,BR
20050,ES
20051,BR
20051,JP
20052,FR
20052,DE
20052,UK
20052,MX
20053,UK
20053,US
20054,CA
20054,DE
20054,US
20055,DE
20055,CA
20055,IT
20056,US
20056,FR
20057,IT
20057,US
20057,MX
20058,UK
20058,FR
20058,JP
20058,US
20059,FR
20059,IT
20059,ES
20060,BR
20060,JP
20061,CA
20061,UK
20062,IT
20062,MX
20062,ES
20063,BR
20063,ES
20063,CA
20063,UK
20064,US
20064,IT
20065,ES
20065,CA
20065,MX
20066,US
20066,MX
20066,UK
20066,CA
20067,CA
20067,MX
20068,FR
20068,JP
20068,MX
20068,UK
20069,US
20069,MX
20069,ES
