column,role
creative_id,candidate_feature
campaign_id,candidate_feature
advertiser_name,candidate_feature
app_name,candidate_feature
vertical,candidate_feature
format,candidate_feature
width,candidate_feature
height,candidate_feature
language,candidate_feature
creative_launch_date,candidate_feature
theme,candidate_feature
hook_type,candidate_feature
cta_text,candidate_feature
headline,candidate_feature
subhead,candidate_feature
dominant_color,candidate_feature
emotional_tone,candidate_feature
duration_sec,candidate_feature
text_density,candidate_feature
copy_length_chars,candidate_feature
readability_score,candidate_feature
brand_visibility_score,candidate_feature
clutter_score,candidate_feature
novelty_score,candidate_feature
motion_score,candidate_feature
faces_count,candidate_feature
product_count,candidate_feature
has_price,candidate_feature
has_discount_badge,candidate_feature
has_gameplay,candidate_feature
has_ugc_style,candidate_feature
asset_file,candidate_feature
asset_path,candidate_feature
asset_exists,candidate_feature
aspect_ratio,candidate_feature
asset_pixels,candidate_feature
is_video_like,candidate_feature
headline_chars,candidate_feature
subhead_chars,candidate_feature
advertiser_id,candidate_feature
objective,candidate_feature
primary_theme,candidate_feature
target_age_segment,candidate_feature
target_os,candidate_feature
start_date,candidate_feature
end_date,candidate_feature
daily_budget_usd,candidate_feature
kpi_goal,candidate_feature
campaign_duration_days,candidate_feature
hq_region,candidate_feature
first_3d_days_observed,candidate_feature
first_3d_spend_usd,candidate_feature
first_3d_impressions,candidate_feature
first_3d_viewable_impressions,candidate_feature
first_3d_clicks,candidate_feature
first_3d_conversions,candidate_feature
first_3d_revenue_usd,candidate_feature
first_3d_avg_country_os_slices,candidate_feature
first_3d_ctr_volatility,candidate_feature
first_3d_ipm_volatility,candidate_feature
first_3d_ctr,candidate_feature
first_3d_viewability_rate,candidate_feature
first_3d_cvr,candidate_feature
first_3d_ipm,candidate_feature
first_3d_roas,candidate_feature
first_7d_days_observed,candidate_feature
first_7d_spend_usd,candidate_feature
first_7d_impressions,candidate_feature
first_7d_viewable_impressions,candidate_feature
first_7d_clicks,candidate_feature
first_7d_conversions,candidate_feature
first_7d_revenue_usd,candidate_feature
first_7d_avg_country_os_slices,candidate_feature
first_7d_ctr_volatility,candidate_feature
first_7d_ipm_volatility,candidate_feature
first_7d_ctr,candidate_feature
first_7d_viewability_rate,candidate_feature
first_7d_cvr,candidate_feature
first_7d_ipm,candidate_feature
first_7d_roas,candidate_feature
first_14d_days_observed,candidate_feature
first_14d_spend_usd,candidate_feature
first_14d_impressions,candidate_feature
first_14d_viewable_impressions,candidate_feature
first_14d_clicks,candidate_feature
first_14d_conversions,candidate_feature
first_14d_revenue_usd,candidate_feature
first_14d_avg_country_os_slices,candidate_feature
first_14d_ctr_volatility,candidate_feature
first_14d_ipm_volatility,candidate_feature
first_14d_ctr,candidate_feature
first_14d_viewability_rate,candidate_feature
first_14d_cvr,candidate_feature
first_14d_ipm,candidate_feature
first_14d_roas,candidate_feature
lifecycle_days,full_period_metric
lifecycle_spend_usd,full_period_metric
lifecycle_impressions,full_period_metric
lifecycle_clicks,full_period_metric
lifecycle_conversions,full_period_metric
lifecycle_revenue_usd,full_period_metric
lifecycle_ctr_std,full_period_metric
lifecycle_ipm_std,full_period_metric
lifecycle_max_days_since_launch,full_period_metric
lifecycle_ctr,full_period_metric
lifecycle_cvr,full_period_metric
lifecycle_ipm,full_period_metric
lifecycle_roas,full_period_metric
creative_status,target_or_label
fatigue_day,target_or_label
perf_score,target_or_label
overall_ctr,target_or_label
overall_cvr,target_or_label
overall_ipm,target_or_label
overall_roas,target_or_label
ctr_decay_pct,target_or_label
cvr_decay_pct,target_or_label
peak_rolling_ctr_5,target_or_label
has_fatigue,target_or_label
